slug,category,korean_text,english_text,romanization,difficulty,access_tier,usage_note,related_slugs,sort_order,is_published,usage_pack,pseo_page_enabled,indexable,robots_directive,sitemap_include,rollout_batch,seo_priority,index_reason_codes,page_type,page_template_key,intent_bucket,audience_segment,use_case_primary,keyword_opportunity,primary_query,audio_query,pronunciation_query,seo_title,seo_title_length,seo_title_pattern_key,meta_description,meta_description_length,h1_template_key,page_slug,canonical_path,parent_hub_slug,parent_hub_path,breadcrumb_label,app_deep_link,normal_audio_asset_key,slow_audio_asset_key,normal_timing_asset_key,render_components,cta_key,cta_label_key,related_slug_count,invalid_related_slugs,related_link_strategy,duplicate_english_group,canonical_variant_strategy,noindex_reason,qa_flags
annyeonghaseyo,greeting,안녕하세요,Hello,annyeonghaseyo,easy,free,polite,"ne,gamsahamnida",10,true,,true,true,"index,follow",true,batch_1,12,"manual_high_intent,core_lookup,has_usage_note",term_audio_page,basic_term_audio,social_courtesy,beginner_social,greetings,high,hello in korean,hear hello in korean,annyeonghaseyo pronunciation,"Hear ""Hello"" in Korean",22,hear_term_title,Hear 안녕하세요 (annyeonghaseyo) and learn how to use it for polite everyday Korean. Practice normal and slow Korean audio in Jjin.,126,term_audio_h1,hello-in-korean,/phrases/hello-in-korean,korean-greetings,/korean-phrases/greetings,Hello,jjin://phrase/annyeonghaseyo,phrases/annyeonghaseyo/ko_normal.wav,phrases/annyeonghaseyo/ko_slow.wav,phrases/annyeonghaseyo/ko_normal.timings.json,"phrase_card,audio_normal,audio_slow,romanization,usage_context,related_phrases,app_cta",open_phrase_in_app,practice_with_slow_audio,2,,use_existing_related_slugs_then_parent_hub,,standard_seo_slug,,
ne,greeting,네,Yes,ne,easy,free,,"annyeonghaseyo,aniyo",20,true,,true,true,"index,follow",true,batch_2,7,core_lookup,term_audio_page,basic_term_audio,social_courtesy,beginner_social,greetings,medium_high,yes in korean,hear yes in korean,ne pronunciation,"Hear ""Yes"" in Korean",20,hear_term_title,Hear 네 (ne) and learn how to use it for greetings. Practice normal and slow Korean audio in Jjin.,97,term_audio_h1,yes-in-korean,/phrases/yes-in-korean,korean-greetings,/korean-phrases/greetings,Yes,jjin://phrase/ne,phrases/ne/ko_normal.wav,phrases/ne/ko_slow.wav,phrases/ne/ko_normal.timings.json,"phrase_card,audio_normal,audio_slow,romanization,usage_context,related_phrases,app_cta",open_phrase_in_app,practice_with_slow_audio,2,,use_existing_related_slugs_then_parent_hub,,standard_seo_slug,,
aniyo,greeting,아니요,No,aniyo,easy,free,,"ne,eodi",30,true,,true,true,"index,follow",true,batch_2,7,core_lookup,term_audio_page,basic_term_audio,social_courtesy,beginner_social,greetings,medium_high,no in korean,hear no in korean,aniyo pronunciation,"Hear ""No"" in Korean",19,hear_term_title,Hear 아니요 (aniyo) and learn how to use it for greetings. Practice normal and slow Korean audio in Jjin.,102,term_audio_h1,no-in-korean,/phrases/no-in-korean,korean-greetings,/korean-phrases/greetings,No,jjin://phrase/aniyo,phrases/aniyo/ko_normal.wav,phrases/aniyo/ko_slow.wav,phrases/aniyo/ko_normal.timings.json,"phrase_card,audio_normal,audio_slow,romanization,usage_context,related_phrases,app_cta",open_phrase_in_app,practice_with_slow_audio,2,,use_existing_related_slugs_then_parent_hub,,standard_seo_slug,,
oneul,greeting,오늘,Today,oneul,moderate,free,,"naeil,annyeonghaseyo",40,true,,true,false,"noindex,follow",false,hold_noindex,0,support_term,term_audio_page,basic_term_audio,social_courtesy,beginner_social,greetings,low_support,today in korean,hear today in korean,oneul pronunciation,"Hear ""Today"" in Korean",22,hear_term_title,Hear 오늘 (oneul) and learn how to use it for greetings. Practice normal and slow Korean audio in Jjin.,101,term_audio_h1,today-in-korean,/phrases/today-in-korean,korean-greetings,/korean-phrases/greetings,Today,jjin://phrase/oneul,phrases/oneul/ko_normal.wav,phrases/oneul/ko_slow.wav,phrases/oneul/ko_normal.timings.json,"phrase_card,audio_normal,audio_slow,romanization,usage_context,related_phrases,app_cta",open_phrase_in_app,practice_with_slow_audio,2,,use_existing_related_slugs_then_parent_hub,,standard_seo_slug,support_phrase_or_low_standalone_search_intent,
naeil,greeting,내일,Tomorrow,naeil,moderate,free,,"oneul,annyeonghaseyo",50,true,,true,false,"noindex,follow",false,hold_noindex,0,support_term,term_audio_page,basic_term_audio,social_courtesy,beginner_social,greetings,low_support,tomorrow in korean,hear tomorrow in korean,naeil pronunciation,"Hear ""Tomorrow"" in Korean",25,hear_term_title,Hear 내일 (naeil) and learn how to use it for greetings. Practice normal and slow Korean audio in Jjin.,101,term_audio_h1,tomorrow-in-korean,/phrases/tomorrow-in-korean,korean-greetings,/korean-phrases/greetings,Tomorrow,jjin://phrase/naeil,phrases/naeil/ko_normal.wav,phrases/naeil/ko_slow.wav,phrases/naeil/ko_normal.timings.json,"phrase_card,audio_normal,audio_slow,romanization,usage_context,related_phrases,app_cta",open_phrase_in_app,practice_with_slow_audio,2,,use_existing_related_slugs_then_parent_hub,,standard_seo_slug,support_phrase_or_low_standalone_search_intent,
gamsahamnida,courtesy,감사합니다,Thank you,gamsahamnida,easy,free,polite,"annyeonghaseyo,joesonghamnida",60,true,,true,true,"index,follow",true,batch_1,9,"core_lookup,two_word_term,has_usage_note",phrase_audio_page,everyday_phrase_audio,social_courtesy,beginner_social,polite_everyday_korean,high,how to say thank you in korean,hear thank you in korean,gamsahamnida pronunciation,"Hear ""Thank you"" in Korean",26,hear_phrase_title,Hear 감사합니다 (gamsahamnida) and learn how to use it for polite everyday Korean. Practice normal and slow Korean audio in Jjin.,124,phrase_audio_h1,thank-you-in-korean,/phrases/thank-you-in-korean,korean-courtesy-phrases,/korean-phrases/courtesy,Thank you,jjin://phrase/gamsahamnida,phrases/gamsahamnida/ko_normal.wav,phrases/gamsahamnida/ko_slow.wav,phrases/gamsahamnida/ko_normal.timings.json,"phrase_card,audio_normal,audio_slow,romanization,usage_context,related_phrases,app_cta",open_phrase_in_app,practice_with_slow_audio,2,,use_existing_related_slugs_then_parent_hub,,standard_seo_slug,,
joesonghamnida,courtesy,죄송합니다,Sorry / excuse me,joesonghamnida,moderate,free,polite,"gamsahamnida,gwaenchanayo",70,true,,true,true,"index,follow",true,batch_1,9,"core_lookup,short_phrase,ambiguous_slash_label,has_usage_note",phrase_audio_page,everyday_phrase_audio,social_courtesy,beginner_social,polite_everyday_korean,high,how to say sorry or excuse me in korean,hear sorry or excuse me in korean,joesonghamnida pronunciation,"Hear ""Sorry"" or ""Excuse Me"" in Korean",37,hear_phrase_title,Hear 죄송합니다 (joesonghamnida) and learn how to use it for polite everyday Korean. Practice normal and slow Korean audio in Jjin.,126,phrase_audio_h1,sorry-excuse-me-in-korean,/phrases/sorry-excuse-me-in-korean,korean-courtesy-phrases,/korean-phrases/courtesy,Sorry / excuse me,jjin://phrase/joesonghamnida,phrases/joesonghamnida/ko_normal.wav,phrases/joesonghamnida/ko_slow.wav,phrases/joesonghamnida/ko_normal.timings.json,"phrase_card,audio_normal,audio_slow,romanization,usage_context,related_phrases,app_cta",open_phrase_in_app,practice_with_slow_audio,2,,use_existing_related_slugs_then_parent_hub,,standard_seo_slug,,
juseyo,courtesy,주세요,Please / give me,juseyo,easy,free,ordering / asking,"keopi-juseyo,mul",80,true,,true,true,"index,follow",true,batch_1,12,"core_lookup,request_query,short_phrase,ambiguous_slash_label,has_usage_note",phrase_audio_page,request_phrase_audio,social_courtesy,beginner_social,polite_everyday_korean,high,juseyo meaning and pronunciation,hear juseyo in korean,juseyo pronunciation,Hear Juseyo in Korean for Ordering,34,hear_phrase_title,Hear 주세요 (juseyo) and learn how it works in Korean requests and ordering. Practice normal and slow Korean audio in Jjin.,120,phrase_audio_h1,please-give-me-in-korean,/phrases/please-give-me-in-korean,korean-courtesy-phrases,/korean-phrases/courtesy,Please / give me,jjin://phrase/juseyo,phrases/juseyo/ko_normal.wav,phrases/juseyo/ko_slow.wav,phrases/juseyo/ko_normal.timings.json,"phrase_card,audio_normal,audio_slow,romanization,usage_context,related_phrases,app_cta",open_phrase_in_app,practice_with_slow_audio,2,,use_existing_related_slugs_then_parent_hub,,standard_seo_slug,,
gwaenchanayo,courtesy,괜찮아요,It's okay,gwaenchanayo,moderate,free,okay / fine / no thanks,"joesonghamnida,dowajuseyo",90,true,,true,true,"index,follow",true,batch_2,8,"known_lookup,short_phrase,has_usage_note",phrase_audio_page,everyday_phrase_audio,social_courtesy,beginner_social,polite_everyday_korean,medium_high,how to say it's okay in korean,hear it's okay in korean,gwaenchanayo pronunciation,"Hear ""It's okay"" in Korean",26,hear_phrase_title,Hear 괜찮아요 (gwaenchanayo) and learn how to use it for polite replies. Practice normal and slow Korean audio in Jjin.,115,phrase_audio_h1,it-s-okay-in-korean,/phrases/it-s-okay-in-korean,korean-courtesy-phrases,/korean-phrases/courtesy,It's okay,jjin://phrase/gwaenchanayo,phrases/gwaenchanayo/ko_normal.wav,phrases/gwaenchanayo/ko_slow.wav,phrases/gwaenchanayo/ko_normal.timings.json,"phrase_card,audio_normal,audio_slow,romanization,usage_context,related_phrases,app_cta",open_phrase_in_app,practice_with_slow_audio,2,,use_existing_related_slugs_then_parent_hub,,standard_seo_slug,,
dowajuseyo,courtesy,도와주세요,Help me / please help,dowajuseyo,difficult,premium,,"yakguk,byeongwon",100,FALSE,,FALSE,false,"noindex,follow",false,hold_noindex,10,"manual_high_intent,request_query,full_phrase,ambiguous_slash_label",phrase_audio_page,request_phrase_audio,social_courtesy,beginner_social,polite_everyday_korean,high,how to say help me or please help in korean,hear help me or please help in korean,dowajuseyo pronunciation,"Hear ""Help me or please help"" in Korean",39,hear_phrase_title,Hear 도와주세요 (dowajuseyo) and learn how to use it for polite everyday korean. Practice normal and slow Korean audio in Jjin.,122,phrase_audio_h1,help-me-please-help-in-korean,/phrases/help-me-please-help-in-korean,korean-courtesy-phrases,/korean-phrases/courtesy,Help me / please help,jjin://phrase/dowajuseyo,phrases/dowajuseyo/ko_normal.wav,phrases/dowajuseyo/ko_slow.wav,phrases/dowajuseyo/ko_normal.timings.json,"phrase_card,audio_normal,audio_slow,romanization,usage_context,related_phrases,app_cta",open_phrase_in_app,practice_with_slow_audio,2,,use_existing_related_slugs_then_parent_hub,,standard_seo_slug,,
